Date,Day,MAX Tem,Min Tem,Max Hum,Min Hum,Temp,Hum,SEWA MIN LOAD(MW),SEWA Peak Load(MW),SEWA Energy/hr.
01-Jan,Friday,28 C,16 C,79%,35%,19 C,50%,652,812,734
02-Jan,Saturday,28 C,14 C,76%,21%,19 C,42%,643,936,802
03-Jan,Sunday,27 C,12 C,74%,25%,20 C,36%,682,949,820
04-Jan,Monday,27 C,12 C,73%,14%,17 C,16%,653,942,801
05-Jan,Tuesday,27 C,10 C,63%,9%,16 C,13%,647,925,786
06-Jan,Wednesday,27 C,11 C,63%,17%,16 C,26%,624,941,786
07-Jan,Thursday,26 C,11 C,58%,23%,20 C,52%,646,924,785
08-Jan,Friday,26 C,10 C,54%,10%,15 C,12%,604,806,706
09-Jan,Saturday,26 C,7 C,58%,16%,15 C,17%,591,918,751
10-Jan,Sunday,26 C,8 C,61%,15%,15 C,13%,611,933,768
11-Jan,Monday,24 C,6 C,77%,19%,15 C,13%,623,921,765
12-Jan,Tuesday,24 C,7 C,78%,27%,16 C,38%,620,912,772
13-Jan,Wednesday,24 C,9 C,77%,30%,16 C,59%,620,935,788
14-Jan,Thursday,24 C,13 C,86%,48%,18 C,77%,665,943,800
15-Jan,Friday,24 C,11 C,94%,53%,17 C,63%,643,837,748
16-Jan,Saturday,24 C,12 C,95%,49%,18 C,59%,627,930,778
17-Jan,Sunday,26 C,13 C,98%,38%,18 C,67%,648,945,796
18-Jan,Monday,12 C,28 C,97%,18%,18 C,24%,648,946,807
19-Jan,Tuesday,26 C,14 C,98%,44%,19 C,73%,669,965,814
20-Jan,Wednesday,27 C,13 C,93%,31%,19 C,99%,674,968,826
21-Jan,Thursday,25 C,13 C,98%,40%,19 C,99%,682,962,821
22-Jan,Friday,23 C,13 C,82%,47%,20 C,41%,645,815,743
23-Jan,Saturday,26 C,11 C,84%,30%,17 C,50%,622,910,770
24-Jan,Sunday,24 C,12 C,69%,29%,18 C,29%,632,918,773
25-Jan,Monday,24 C,12 C,88%,48%,17 C,42%,643,938,787
26-Jan,Tuesday,25 C,13 C,91%,37%,18 C,99%,642,937,789
27-Jan,Wednesday,26 C,14 C,94%,36%,19 C,99%,663,947,809
28-Jan,Thursday,28 C,10 C,95%,11%,19 C,99%,669,951,815
29-Jan,Friday,28 C,10 C,76%,25%,17 C,77%,640,840,751
30-Jan,Saturday,29 C,13 C,78%,24%,19 C,84%,646,947,809
31-Jan,Sunday,25 C,14 C,83%,47%,20 C,31%,687,953,820
01-Feb,Monday,24 C,15 C,86%,46%,21 C,46%,684,942,811
02-Feb,Tuesday,25 C,12 C,89%,40%,17 C,56%,664,954,807
03-Feb,Wednesday,26 C,12 C,92%,37%,18 C,99%,659,954,810
04-Feb,Thursday,28 C,12 C,92%,21%,18 C,99%,681,943,818
05-Feb,Friday,30 C,11 C,56%,23%,17 C,56%,660,834,747
06-Feb,Saturday,29 C,15 C,68%,27%,20 C,50%,662,937,810
07-Feb,Sunday,29 C,16 C,85%,30%,20 C,65%,707,859,823
08-Feb,Monday,26 C,15 C,89%,37%,21 C,55%,708,959,851
09-Feb,Tuesday,26 C,14 C,96%,40%,22 C,56%,734,971,866
10-Feb,Wednesday,29 C,15 C,98%,27%,20 C,75%,728,1008,875
11-Feb,Thursday,27 C,15 C,98%,37%,21 C,99%,743,993,869
12-Feb,Friday,27 C,14 C,98%,24%,18 C,100%,665,856,787
13-Feb,Saturday,25 C,13 C,98%,41%,19 C,71%,631,971,830
14-Feb,Sunday,27 C,12 C,98%,40%,20 C,69%,724,990,855
15-Feb,Monday,29 C,12 C,99%,22%,20 C,69%,717,979,849
16-Feb,Tuesday,30 C,13 C,97%,29%,20 C,66%,719,985,860
17-Feb,Wednesday,33 C,14 C,98%,12%,21 C,73%,744,1015,886
18-Feb,Thursday,33 C,17 C,62%,16%,22 C,80%,770,1024,906
19-Feb,Friday,28 C,18 C,90%,38%,24 C,85%,756,930,864
20-Feb,Saturday,29 C,15 C,95%,38%,23 C,100%,783,1017,913
21-Feb,Sunday,29 C,17 C,95%,30%,23 C,54%,817,1024,924
22-Feb,Monday,30 C,16 C,95%,25%,24 C,62%,820,1069,949
23-Feb,Tuesday,28 C,16 C,80%,36%,21 C,52%,814,1053,945
24-Feb,Wednesday,29 C,17 C,87%,35%,23 C,56%,831,1070,967
25-Feb,Thursday,32 C,19 C,85%,21%,24 C,85%,855,1051,850
26-Feb,Friday,25 C,19 C,83%,45%,23 C,99%,816,982,883
27-Feb,Saturday,24 C,16 C,75%,42%,21 C,80%,759,985,879
28-Feb,Sunday,26 C,14 C,80%,33%,21 C,37%,758,975,878
01-Mar,Monday,28 C,12 C,79%,23%,19 C,39%,733,1006,873
02-Mar,Tuesday,33 C,16 C,76%,21%,21 C,46%,783,1055,940
03-Mar,Wednesday,34 C,19 C,78%,25%,25 C,67%,845,1137,1015
04-Mar,Thursday,34 C,17 C,78%,21%,23 C,79%,862,1169,1036
05-Mar,Friday,38 C,17 C,79%,10%,22 C,60%,827,1147,1001
06-Mar,Saturday,27 C,21 C,83%,42%,23 C,93%,909,1115,1025
07-Mar,Sunday,25 C,18 C,79%,47%,22 C,47%,850,1071,964
08-Mar,Monday,25 C,18 C,82%,37%,21 C,44%,802,1039,936
09-Mar,Tuesday,30 C,12 C,86%,9%,19 C,61%,794,1048,943
10-Mar,Wednesday,31 C,16 C,70%,14%,22 C,9%,828,1075,972
11-Mar,Thursday,31 C,19 C,78%,20%,22 C,86%,850,1119,1002
12-Mar,Friday,38 C,17 C,51%,8%,23 C,39%,822,1112,989
13-Mar,Saturday,34 C,20 C,75%,11%,29 C,28%,947,1223,1092
14-Mar,Sunday,27 C,18 C,82%,51%,22 C,54%,901,1112,1040
15-Mar,Monday,28 C,16 C,88%,37%,21 C,83%,876,1082,1004
16-Mar,Tuesday,32 C,15 C,92%,9%,20 C,64%,829,1071,980
17-Mar,Wednesday,35 C,18 C,73%,9%,22 C,36%,858,1150,1036
18-Mar,Thursday,36 C,18 C,36%,10%,24 C,38%,910,1212,1086
19-Mar,Friday,40 C,20 C,42%,6%,26 C,27%,919,1233,1088
